Report,Publisher,Country Name,Year of Report,Latest,Indicator (English),Indicator Description,Rank,Previous Rank,Value (Reported),Score,Data Type,Source,Falls under 50% threshold,First Globally,First Arab,First Regionally,First GCC,First G20,Sector (English),Main Entity (English),Supporting Entity (English)
Global Gender Gap Report,World Economic Forum,Peru,2025,Latest,Women in parliament %,?????? ?? ????????,19,29,-,0.711,Data,INTER-Parliamentary Union,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Mexico,Gender Balance,Gender Balance Council,Not Available
Global Gender Gap Report,World Economic Forum,Denmark,2025,Latest,Years with female/male head of state (last 50),??? ??????? ???? ????? ???? ?????/??? ???? ???? ?????? ???? ??? 50 ???,19,18,-,0.232,Data,World Economic Forum�s Calculations.,No,Multiple Countries,Tunisia,Turkey,United Arab Emirates,Germany,Gender Balance,Gender Balance Council,Not Available
Global Gender Gap Report,World Economic Forum,Denmark,2025,Latest,"Estimated earned income int'l $ 1,000",????? ????? ???????? ??????? ?????? ??? ????? ???????? ??????? ?????? (?????? ????? ????????),20,20,-,0.756,Data,"International Labour Organization (ILO), ILOSTAT database; UN World Population Prospects 2024; World Bank, World Development Indicators database",No,Liberia,Bahrain,Bahrain,Bahrain,Canada,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Iceland,2025,Latest,Labour-force participation rate %,?????? ????? ???????,20,12,-,0.888,Data,ILO Laborstahttp:/laborsta.ILO.Org National Sources,No,Burundi,Comoros,Israel,United Arab Emirates,Australia,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Cabo Verde,2025,Latest,"Legislators, senior officials and managers %",???? ???????? ????? ????????? ???????? ?? ?????? ??? ??????,20,18,-,0.853,Data,"International Labour Organization (ILO), ILOSTAT",No,Multiple Countries,Multiple Countries,Jordan,United Arab Emirates,United States,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Zimbabwe,2025,Latest,Wage equality for similar work 1-7 (best),?????? ?????? ????? ??????? 1-7 (??????),20,20,-,0.752,Survey,"World Economic Forum, Executive Opinion Survey (EOS) https:/www.weforum.org/reports/",No,Albania,Oman,Oman,Oman,Saudi Arabia,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Ecuador,2025,Latest,Women in ministerial positions %,???? ?????? ?? ??????? ???????? (%),20,1,-,0.727,Data,UN Women,No,Multiple Countries,Morocco,Morocco,Bahrain,United Kingdom,Gender Balance,Gender Balance Council,Ministry of Cabinet Affairs and Future
Global Gender Gap Report,World Economic Forum,Belgium,2025,Latest,Women in parliament %,?????? ?? ????????,20,19,-,0.705,Data,INTER-Parliamentary Union,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Mexico,Gender Balance,Gender Balance Council,Not Available
Global Gender Gap Report,World Economic Forum,Argentina,2025,Latest,Years with female/male head of state (last 50),??? ??????? ???? ????? ???? ?????/??? ???? ???? ?????? ???? ??? 50 ???,20,15,-,0.222,Data,World Economic Forum�s Calculations.,No,Multiple Countries,Tunisia,Turkey,United Arab Emirates,Germany,Gender Balance,Gender Balance Council,Not Available
Global Gender Gap Report,World Economic Forum,Albania,2025,Latest,"Estimated earned income int'l $ 1,000",????? ????? ???????? ??????? ?????? ??? ????? ???????? ??????? ?????? (?????? ????? ????????),21,28,-,0.754,Data,"International Labour Organization (ILO), ILOSTAT database; UN World Population Prospects 2024; World Bank, World Development Indicators database",No,Liberia,Bahrain,Bahrain,Bahrain,Canada,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Australia,2025,Latest,Labour-force participation rate %,?????? ????? ???????,21,28,-,0.886,Data,ILO Laborstahttp:/laborsta.ILO.Org National Sources,No,Burundi,Comoros,Israel,United Arab Emirates,Australia,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Trinidad And Tobago,2025,Latest,"Legislators, senior officials and managers %",???? ???????? ????? ????????? ???????? ?? ?????? ??? ??????,21,-,-,0.846,Data,"International Labour Organization (ILO), ILOSTAT",No,Multiple Countries,Multiple Countries,Jordan,United Arab Emirates,United States,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Indonesia,2025,Latest,Wage equality for similar work 1-7 (best),?????? ?????? ????? ??????? 1-7 (??????),21,15,-,0.751,Survey,"World Economic Forum, Executive Opinion Survey (EOS) https:/www.weforum.org/reports/",No,Albania,Oman,Oman,Oman,Saudi Arabia,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Albania,2025,Latest,Women in ministerial positions %,???? ?????? ?? ??????? ???????? (%),21,1,-,0.714,Data,UN Women,No,Multiple Countries,Morocco,Morocco,Bahrain,United Kingdom,Gender Balance,Gender Balance Council,Ministry of Cabinet Affairs and Future
Global Gender Gap Report,World Economic Forum,Senegal,2025,Latest,Women in parliament %,?????? ?? ????????,21,10,-,0.701,Data,INTER-Parliamentary Union,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Mexico,Gender Balance,Gender Balance Council,Not Available
Global Gender Gap Report,World Economic Forum,Estonia,2025,Latest,Years with female/male head of state (last 50),??? ??????? ???? ????? ???? ?????/??? ???? ???? ?????? ???? ??? 50 ???,21,19,-,0.205,Data,World Economic Forum�s Calculations.,No,Multiple Countries,Tunisia,Turkey,United Arab Emirates,Germany,Gender Balance,Gender Balance Council,Not Available
Global Gender Gap Report,World Economic Forum,Finland,2025,Latest,"Estimated earned income int'l $ 1,000",????? ????? ???????? ??????? ?????? ??? ????? ???????? ??????? ?????? (?????? ????? ????????),22,25,-,0.752,Data,"International Labour Organization (ILO), ILOSTAT database; UN World Population Prospects 2024; World Bank, World Development Indicators database",No,Liberia,Bahrain,Bahrain,Bahrain,Canada,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Vietnam,2025,Latest,Labour-force participation rate %,?????? ????? ???????,22,26,-,0.886,Data,ILO Laborstahttp:/laborsta.ILO.Org National Sources,No,Burundi,Comoros,Israel,United Arab Emirates,Australia,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Belarus,2025,Latest,"Legislators, senior officials and managers %",???? ???????? ????? ????????? ???????? ?? ?????? ??? ??????,22,17,-,0.828,Data,"International Labour Organization (ILO), ILOSTAT",No,Multiple Countries,Multiple Countries,Jordan,United Arab Emirates,United States,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Switzerland,2025,Latest,Wage equality for similar work 1-7 (best),?????? ?????? ????? ??????? 1-7 (??????),22,12,-,0.748,Survey,"World Economic Forum, Executive Opinion Survey (EOS) https:/www.weforum.org/reports/",No,Albania,Oman,Oman,Oman,Saudi Arabia,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Portugal,2025,Latest,Women in ministerial positions %,???? ?????? ?? ??????? ???????? (%),22,1,-,0.7,Data,UN Women,No,Multiple Countries,Morocco,Morocco,Bahrain,United Kingdom,Gender Balance,Gender Balance Council,Ministry of Cabinet Affairs and Future
Global Gender Gap Report,World Economic Forum,Namibia,2025,Latest,Women in parliament %,?????? ?? ????????,22,16,-,0.684,Data,INTER-Parliamentary Union,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Mexico,Gender Balance,Gender Balance Council,Not Available
Global Gender Gap Report,World Economic Forum,Chile,2025,Latest,Years with female/male head of state (last 50),??? ??????? ???? ????? ???? ?????/??? ???? ???? ?????? ???? ??? 50 ???,22,21,-,0.191,Data,World Economic Forum�s Calculations.,No,Multiple Countries,Tunisia,Turkey,United Arab Emirates,Germany,Gender Balance,Gender Balance Council,Not Available
Global Gender Gap Report,World Economic Forum,Slovak Republic,2025,Latest,"Estimated earned income int'l $ 1,000",????? ????? ???????? ??????? ?????? ??? ????? ???????? ??????? ?????? (?????? ????? ????????),23,47,-,0.747,Data,"International Labour Organization (ILO), ILOSTAT database; UN World Population Prospects 2024; World Bank, World Development Indicators database",No,Liberia,Bahrain,Bahrain,Bahrain,Canada,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Uganda,2025,Latest,Labour-force participation rate %,?????? ????? ???????,23,20,-,0.885,Data,ILO Laborstahttp:/laborsta.ILO.Org National Sources,No,Burundi,Comoros,Israel,United Arab Emirates,Australia,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Zambia,2025,Latest,"Legislators, senior officials and managers %",???? ???????? ????? ????????? ???????? ?? ?????? ??? ??????,23,14,-,0.807,Data,"International Labour Organization (ILO), ILOSTAT",No,Multiple Countries,Multiple Countries,Jordan,United Arab Emirates,United States,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Israel,2025,Latest,Wage equality for similar work 1-7 (best),?????? ?????? ????? ??????? 1-7 (??????),23,86,-,0.741,Survey,"World Economic Forum, Executive Opinion Survey (EOS) https:/www.weforum.org/reports/",No,Albania,Oman,Oman,Oman,Saudi Arabia,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,United States,2025,Latest,Women in ministerial positions %,???? ?????? ?? ??????? ???????? (%),23,36,-,0.667,Data,UN Women,No,Multiple Countries,Morocco,Morocco,Bahrain,United Kingdom,Gender Balance,Gender Balance Council,Ministry of Cabinet Affairs and Future
Global Gender Gap Report,World Economic Forum,France,2025,Latest,Women in ministerial positions %,???? ?????? ?? ??????? ???????? (%),23,15,-,0.667,Data,UN Women,No,Multiple Countries,Morocco,Morocco,Bahrain,United Kingdom,Gender Balance,Gender Balance Council,Ministry of Cabinet Affairs and Future
Global Gender Gap Report,World Economic Forum,Netherlands,2025,Latest,Women in ministerial positions %,???? ?????? ?? ??????? ???????? (%),23,1,-,0.667,Data,UN Women,No,Multiple Countries,Morocco,Morocco,Bahrain,United Kingdom,Gender Balance,Gender Balance Council,Ministry of Cabinet Affairs and Future
Global Gender Gap Report,World Economic Forum,United Kingdom,2025,Latest,Women in parliament %,?????? ?? ????????,23,43,-,0.68,Data,INTER-Parliamentary Union,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Mexico,Gender Balance,Gender Balance Council,Not Available
Global Gender Gap Report,World Economic Forum,Switzerland,2025,Latest,Years with female/male head of state (last 50),??? ??????? ???? ????? ???? ?????/??? ???? ???? ?????? ???? ??? 50 ???,23,22,-,0.19,Data,World Economic Forum�s Calculations.,No,Multiple Countries,Tunisia,Turkey,United Arab Emirates,Germany,Gender Balance,Gender Balance Council,Not Available
Global Gender Gap Report,World Economic Forum,Philippines,2025,Latest,"Estimated earned income int'l $ 1,000",????? ????? ???????? ??????? ?????? ??? ????? ???????? ??????? ?????? (?????? ????? ????????),24,43,-,0.743,Data,"International Labour Organization (ILO), ILOSTAT database; UN World Population Prospects 2024; World Bank, World Development Indicators database",No,Liberia,Bahrain,Bahrain,Bahrain,Canada,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Namibia,2025,Latest,Labour-force participation rate %,?????? ????? ???????,24,23,-,0.884,Data,ILO Laborstahttp:/laborsta.ILO.Org National Sources,No,Burundi,Comoros,Israel,United Arab Emirates,Australia,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Honduras,2025,Latest,"Legislators, senior officials and managers %",???? ???????? ????? ????????? ???????? ?? ?????? ??? ??????,24,93,-,0.806,Data,"International Labour Organization (ILO), ILOSTAT",No,Multiple Countries,Multiple Countries,Jordan,United Arab Emirates,United States,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Vietnam,2025,Latest,Wage equality for similar work 1-7 (best),?????? ?????? ????? ??????? 1-7 (??????),24,28,-,0.74,Survey,"World Economic Forum, Executive Opinion Survey (EOS) https:/www.weforum.org/reports/",No,Albania,Oman,Oman,Oman,Saudi Arabia,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Moldova,2025,Latest,Women in parliament %,?????? ?? ????????,24,23,-,0.667,Data,INTER-Parliamentary Union,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Mexico,Gender Balance,Gender Balance Council,Not Available
Global Gender Gap Report,World Economic Forum,Serbia,2025,Latest,Years with female/male head of state (last 50),??? ??????? ???? ????? ???? ?????/??? ???? ???? ?????? ???? ??? 50 ???,24,23,-,0.187,Data,World Economic Forum�s Calculations.,No,Multiple Countries,Tunisia,Turkey,United Arab Emirates,Germany,Gender Balance,Gender Balance Council,Not Available
Global Gender Gap Report,World Economic Forum,Sierra Leone,2025,Latest,"Estimated earned income int'l $ 1,000",????? ????? ???????? ??????? ?????? ??? ????? ???????? ??????? ?????? (?????? ????? ????????),25,29,-,0.737,Data,"International Labour Organization (ILO), ILOSTAT database; UN World Population Prospects 2024; World Bank, World Development Indicators database",No,Liberia,Bahrain,Bahrain,Bahrain,Canada,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Denmark,2025,Latest,Labour-force participation rate %,?????? ????? ???????,25,25,-,0.882,Data,ILO Laborstahttp:/laborsta.ILO.Org National Sources,No,Burundi,Comoros,Israel,United Arab Emirates,Australia,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Colombia,2025,Latest,"Legislators, senior officials and managers %",???? ???????? ????? ????????? ???????? ?? ?????? ??? ??????,25,22,-,0.799,Data,"International Labour Organization (ILO), ILOSTAT",No,Multiple Countries,Multiple Countries,Jordan,United Arab Emirates,United States,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
Global Gender Gap Report,World Economic Forum,Jordan,2025,Latest,Wage equality for similar work 1-7 (best),?????? ?????? ????? ??????? 1-7 (??????),25,18,-,0.739,Survey,"World Economic Forum, Executive Opinion Survey (EOS) https:/www.weforum.org/reports/",No,Albania,Oman,Oman,Oman,Saudi Arabia,Human Resources,Ministry of Human Resources and Emiratisation,Gender Balance Council
